Name,IP,Type,configVersion,FileName,Parameters1,Parameters2,Parameters3,Parameters4,Parameters5,Parameters6,Parameters7,Parameters8,Parameters9,Parameters10,Parameters11,Parameters12,Parameters13,Parameters14,Parameters15,Parameters16
,,,V1.3,TESYS_TYPE4A.csv,MOTOR HEATER FOR 62-MG-211A-ACH3,A8-1,256,122,16000,93,94,95,96,97,,,,,,
,,,V1.3,TESYS_TYPE4A.csv,COOLER FAN FOR 62-MEA-213,A8-2,257,123,16001,99,100,101,102,103,,,,,,
,,,V1.3,NSX.csv,SPARE (FREE) _ IFM module,A8-3,256,,16000,105,106,107,108,109,,,,,,
,,,V1.3,NSX.csv,SPARE (NSX),A8-4,257,,16001,111,112,113,114,115,,,,,,
,,,V1.3,NSX.csv,SPARE (FREE) _ IFM module,A8-5,258,,16002,117,118,119,120,121,,,,,,
,,,V1.3,TESYS_TYPE6.csv,LUBE OIL PUMP 62-MG-224,A7-1,258,124,16002,123,124,125,126,127,,,,,,
,,,V1.3,NSX.csv,SPARE (NSX),A7-2,259,,16003,129,130,131,132,133,,,,,,
,,,V1.3,NSX.csv,SPARE (FREE) _ IFM module,A7-3,260,,16004,135,136,137,138,139,,,,,,
,,,V1.3,TESYS_TYPE6.csv,SPARE (TESYST),A7-4,259,125,16003,141,142,143,144,145,,,,,,
,,,V1.3,TESYS_TYPE6.csv,SPARE (TESYST),A6-1,260,126,16004,147,148,149,150,151,,,,,,
,,,V1.3,NSX.csv,SPARE (NSX),A6-2,261,,16005,153,154,155,156,157,,,,,,
,,,V1.3,NSX.csv,AC UPS2 SYSTEM BYPASS 063-9700-UPS 50803,A6-3,262,,16006,159,160,161,162,163,,,,,,
,,,V1.3,NSX.csv,AC UPS2 SYSTEM BYPASS 063-9700-UPS 50565,A6-4,263,,16007,165,166,167,168,169,,,,,,
,,,V1.3,TESYS_TYPE6.csv,TRACE HEATING DB 062-0200-TDB-0257,A6-5,261,127,16005,171,172,173,174,175,,,,,,
,,,V1.3,TESYS_TYPE6.csv,SPARE (TESYST),A5-1,262,128,16006,177,178,179,180,181,,,,,,
,,,V1.3,TESYS_TYPE6.csv,SPARE (FREE) - Connexium,A5-2,263,129,16007,183,184,185,186,187,,,,,,
,,,V1.3,NSX.csv,SUBSTATION SMALL POWER DB 063-9700-PDB-50812,A5-3,264,,16008,189,190,191,192,193,,,,,,
,,,V1.3,TESYS_TYPE6.csv,TRACE HEATING DB 062-0800-TDB-0602,A5-4,264,130,16008,195,196,197,198,199,,,,,,
,,,V1.3,TESYS_TYPE6.csv,SPARE (TESYST),A4-1,265,131,16009,201,202,203,204,205,,,,,,
,,,V1.3,NSX.csv,SPARE (NSX),A4-2,265,,16009,207,208,209,210,211,,,,,,
,,,V1.3,NSX.csv,A03 HVAC SYSTEM NORMAL FEEDER TAG No TBA,A4-3,266,,16010,213,214,215,216,217,,,,,,
,,,V1.3,NSX.csv,SPARE (NSX),A4-4,267,,16011,219,220,221,222,223,,,,,,
,,,V1.3,NSX.csv,SPARE (NSX),A4-5,268,,16012,225,226,227,228,229,,,,,,
,,,V1.3,NSX.csv,SPARE (FREE) _ IFM module,A4-6,269,,16013,231,232,233,234,235,,,,,,
,,,V1.3,TESYS_TYPE6.csv,COOLER FAN FOR 62-MEA-215,A3-1,267,132,16010,237,238,239,240,241,,,,,,
,,,V1.3,TESYS_TYPE6.csv,MOTOR HEATER FOR 62-MG-209A-ACH3,A3-2,268,133,16011,243,244,245,246,247,,,,,,
,,,V1.3,NSX.csv,LUBE OIL HEATER DB 062-0200-PDB-50805-SGP2A,A3-3,270,,16014,249,250,251,252,253,,,,,,
,,,V1.3,NSX.csv,DC UPS SYSTEM INCOMER 1 063-9700-DCC-50804,A3-4,271,,16015,255,256,257,258,259,,,,,,
,,,V1.3,NSX.csv,SPARE (NSX),A3-5,278,,16016,261,262,263,264,265,,,,,,
,,,V1.3,TESYS_TYPE6.csv,SPARE (TESYST),A3-6,269,134,16012,267,268,269,270,271,,,,,,
,,,V1.3,TESYS_TYPE6.csv,SPARE (TESYST),A2-1,270,135,16013,273,274,275,276,277,,,,,,
,,,V1.3,NSX.csv,SPARE (NSX),A2-2,279,,16017,279,280,281,282,283,,,,,,
,,,V1.3,NSX.csv,HVAC CHILLER UNIT A TAG No VTA SUBSTATION 2A,A2-3,280,,16018,285,286,287,288,289,,,,,,
,,,V1.3,TESYS_TYPE6.csv,SPARE (TESYST),A2-4,271,136,16014,291,292,293,294,295,,,,,,
,,,V1.3,NSX.csv,SPARE (NSX),A1-1,281,,16019,297,298,299,300,301,,,,,,
,,,V1.3,TESYS_TYPE6.csv,LUBE OIL PUMP 62-MG-222,A1-2,272,137,16015,303,304,305,306,307,,,,,,
,,,V1.3,TESYS_TYPE6.csv,SPARE (TESYST),A1-3,273,138,16016,309,310,311,312,313,,,,,,
,,,V1.3,T81_INC_400V.csv,INCOMER-A,A-2,274,139,16017,315,316,317,318,319,,,,,,
,,,V1.3,B83_BS_AB_400V.csv,BUS TIE AB,AB-1,275,140,16018,321,322,323,324,325,,,,,,
,,,V1.3,T81_INC_400V.csv,INCOMER-B,B-2,276,141,16019,327,328,329,330,331,,,,,,
,,,V1.3,NSX.csv,SPARE (MASTERPACT NW08),B1-1,282,,16020,333,334,335,336,337,,,,,,
,,,V1.3,TESYS_TYPE6.csv,COOLER FAN FOR 62-MEA-214,B1-2,278,142,16020,339,340,341,342,343,,,,,,
,,,V1.3,TESYS_TYPE6.csv,TRACE HEATING DB 062-0200-TDB-0257,B1-3,279,143,16021,345,346,347,348,349,,,,,,
,,,V1.3,TESYS_TYPE6.csv,LUBE OIL PUMP 62-MG-225,B2-1,280,144,16022,351,352,353,354,355,,,,,,
,,,V1.3,TESYS_TYPE6.csv,MOTOR HEATER FOR 62-MG-209B-ACH3,B2-2,281,145,16023,357,358,359,360,361,,,,,,
,,,V1.3,TESYS_TYPE6.csv,MOTOR HEATER FOR 62-MG-211B-ACH3,B2-3,282,146,16024,363,364,365,366,367,,,,,,
,,,V1.3,TESYS_TYPE6.csv,SPARE (TESYST),B2-4,283,147,16025,369,370,371,372,373,,,,,,
,,,V1.3,NSX.csv,SPARE (NSX),B2-5,283,,16021,375,376,377,378,379,,,,,,
