A8-1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,CONTROL,START,O1,,START,YES,1301,0,UINT16,3,,,,122,0,A8-1.START.CMD,,93,5,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,CONTROL,STOP,O1,,STOP,YES,1301,2,UINT16,3,,,,122,0,A8-1.STOP.CMD,,93,5,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,CONTROL,RESET FAULTS,,,RESET,YES,1301,15,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,STATUS,CB DRAWN IN,I3,OUT,IN,YES,459,2,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,STATUS,CB HEALTHY,I4,FAULTY,HEALTHY,YES,459,3,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,STATUS,READY TO START,,NO READY,READY,YES,1302,0,UINT16,3,,,,256,1,A8-1.AVAILABLE,,96,1,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,STATUS,LOCAL PANEL CONTROL,I5,REMOTE,LOCAL,YES,459,4,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,STATUS,AUTO / REMOTE MODE,I6,LOCAL,REMOTE,YES,459,5,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,STATUS,LOCAL START,I1,,START,YES,459,0,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,STATUS,CONTACTOR STATUS,I7,OPEN,CLOSE,YES,459,6,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,STATUS,LOAD RUNNING,,STOPPED,RUNNING,YES,455,1,UNIT16,3,,,,256,0,A8-1.MOTOR.RUNNIG,,95,1,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,STATUS,SYSTEM ON,,,ON,YES,455,1,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,STATUS,SYSTEM FAULT,,,FAULTY,YES,455,2,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,STATUS,SYSTEM WARNING,,,WARNING,YES,455,3,UNIT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,ALARM,GROUND CURRENT WARNING,,NORMAL,ALARM,YES,461,2,UNIT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,ALARM,CURRENT PHASE IMBALANCE WARNING,,NORMAL,ALARM,YES,461,6,UNIT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,ALARM,UNDERCURRENT WARNING,,NORMAL,ALARM,YES,461,7,UNIT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,ALARM,OVERCURRENT WARNING,,NORMAL,ALARM,YES,462,3,UNIT16,3,,,,,,,,,,
