Parameters2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-9700-MCC-50564,SEPAM B83,Parameters1,63-9700-P-6475-04,400V,Parameters2,CONTROL,CB CONTROL,O3,,CLOSE,YES,CSWI1 /  Pos / SBOw,,BIT,5,,,,Parameters4,1,Parameters2.CLOSE.CMD,,Parameters6,5,
1,063-9700-MCC-50564,SEPAM B83,Parameters1,63-9700-P-6475-04,400V,Parameters2,CONTROL,CB CONTROL,O4,,OPEN,YES,CSWI1 /  Pos / SBOw,,BIT,5,,,,Parameters4,0,Parameters2.OPEN.CMD,,Parameters7,5,
1,063-9700-MCC-50564,SEPAM B83,Parameters1,63-9700-P-6475-04,400V,Parameters2,MODE,CONTROL MODE,I107,REMOTE,LOCAL,YES,CSWI1 /  Loc / StVal,,BIT,3,,,,Parameters3,1,Parameters2.REMOTE,,Parameters10,1,
1,063-9700-MCC-50564,SEPAM B83,Parameters1,63-9700-P-6475-04,400V,Parameters2,STATUS,CB STATUS,I205-I206,OPEN,CLOSE,YES,CSWI1 / Pos / StVal,,BIT,3,,,,Parameters3,0,Parameters2.CB.STATUS,,Parameters8,1,
1,063-9700-MCC-50564,SEPAM B83,Parameters1,63-9700-P-6475-04,400V,Parameters2,STATUS,CB TEST POSITION,I109,,TEST,YES,M120_GGIO1 / Ind9,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM B83,Parameters1,63-9700-P-6475-04,400V,Parameters2,STATUS,CB RACK,I113,OUT,IN,YES,M120_GGIO1 / Ind13,,BIT,3,,,,Parameters3,2,Parameters2.CB.RACKIN,,Parameters9,1,
1,063-9700-MCC-50564,SEPAM B83,Parameters1,63-9700-P-6475-04,400V,Parameters2,STATUS,BUS RISER AB2 RACK,I313,OUT,IN,YES,M120_GGIO3 / Ind13,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM B83,Parameters1,63-9700-P-6475-04,400V,Parameters2,STATUS,BUS RISER AB2 CLOSED,I312,OPEN,CLOSE,YES,M120_GGIO3 / Ind12,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM B83,Parameters1,63-9700-P-6475-04,400V,Parameters2,STATUS,BUS TRUCK QAB2 TEST,I114,,TEST,YES,M120_GGIO1 / Ind14,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM B83,Parameters1,63-9700-P-6475-04,400V,Parameters2,STATUS,RESET BUS TIE LOCKOUT,I306,NORMAL,RESET,YES,M120_GGIO3 / Ind6,,BIT,3,,,,,,,,,,
