Parameters2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-DCC-50804-SGP2A,GUTUR DCC,Parameters1,,400V,Parameters2,STATUS,Q0 CLOSED,,OPEN,CLOSE,YES,52,,,1,,,,,,,,,,
1,063-DCC-50804-SGP2A,GUTUR DCC,Parameters1,,400V,Parameters2,STATUS,Q1 OPEN,,CLOSE,OPEN,YES,53,,,1,,,,,,,,,,
1,063-DCC-50804-SGP2A,GUTUR DCC,Parameters1,,400V,Parameters2,ALARM,HIGH DC WARNING,,NORMAL,ALARM,YES,1,,,1,,,,,,,,,,
1,063-DCC-50804-SGP2A,GUTUR DCC,Parameters1,,400V,Parameters2,ALARM,BATTERY OPERATION,,NORMAL,ALARM,YES,2,,,1,,,,,,,,,,
1,063-DCC-50804-SGP2A,GUTUR DCC,Parameters1,,400V,Parameters2,ALARM,LOW DC VAUX WARNING,,NORMAL,ALARM,YES,4,,,1,,,,,,,,,,
1,063-DCC-50804-SGP2A,GUTUR DCC,Parameters1,,400V,Parameters2,ALARM,DC VOLTAGE HIGH,,NORMAL,ALARM,YES,5,,,1,,,,,,,,,,
1,063-DCC-50804-SGP2A,GUTUR DCC,Parameters1,,400V,Parameters2,ALARM,COMMON FAULT,,NORMAL,ALARM,YES,6,,,1,,,,,,,,,,
1,063-DCC-50804-SGP2A,GUTUR DCC,Parameters1,,400V,Parameters2,ALARM,BATTERY NOT CONNECTED,,NORMAL,ALARM,YES,17,,,1,,,,,,,,,,
1,063-DCC-50804-SGP2A,GUTUR DCC,Parameters1,,400V,Parameters2,ALARM,BATTERY TEMPERATURE FAULT,,NORMAL,ALARM,YES,18,,,1,,,,,,,,,,
1,063-DCC-50804-SGP2A,GUTUR DCC,Parameters1,,400V,Parameters2,ALARM,DC VOLTAGE LOW WARNING,,NORMAL,ALARM,YES,21,,,1,,,,,,,,,,
