Parameters2,,,,,,,,,,,,,
,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,SIS2A ADDRESS,SIS2B ADDRESS,SIS1A ADDRESS,SIS1B ADDRESS,PLC TAG,REMARK
1,063-CP-850000-011,TESYST,MOTOR HEATER FOR 62-MG-211A-ACH3,400V,A8-1,ALARM,MODBUS TCP,,,80,320,COMM.LINK,
1,063-CP-850000-011,TESYST,COOLER FAN FOR 62-MEA-213,400V,A8-2,ALARM,MODBUS TCP,,,81,321,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (FREE) _ IFM module,400V,A8-3,ALARM,SERIAL MODBUS,80,320,,,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,A8-4,ALARM,SERIAL MODBUS,81,321,,,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (FREE) _ IFM module,400V,A8-5,ALARM,SERIAL MODBUS,82,322,,,COMM.LINK,
1,063-CP-850000-011,TESYST,LUBE OIL PUMP 62-MG-224,400V,A7-1,ALARM,MODBUS TCP,,,82,322,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,A7-2,ALARM,SERIAL MODBUS,83,323,,,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (FREE) _ IFM module,400V,A7-3,ALARM,SERIAL MODBUS,84,324,,,COMM.LINK,
1,063-CP-850000-011,TESYST,SPARE (TESYST),400V,A7-4,ALARM,MODBUS TCP,,,83,323,COMM.LINK,
1,063-CP-850000-011,TESYST,SPARE (TESYST),400V,A6-1,ALARM,MODBUS TCP,,,84,324,COMM.LINK,
1,063-CP-850000-011,NSX,SPARE (NSX),400V,A6-2,ALARM,SERIAL MODBUS,85,325,,,COMM.LINK,
1,063-CP-850000-011,NSX,AC UPS2 SYSTEM BYPASS 063-9700-UPS 50803,400V,A6-3,ALARM,SERIAL MODBUS,86,326,,,COMM.LINK,
1,063-CP-850000-011,NSX,AC UPS2 SYSTEM BYPASS 063-9700-UPS 50565,400V,A6-4,ALARM,SERIAL MODBUS,87,327,,,COMM.LINK,
1,063-CP-850000-011,TESYST,TRACE HEATING DB 062-0200-TDB-0257,400V,A6-5,ALARM,MODBUS TCP,,,85,325,COMM.LINK,
1,063-CP-850000-011,TESYST,SPARE (TESYST),400V,A5-1,ALARM,MODBUS TCP,,,86,326,COMM.LINK,
