Parameters2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,ALARM,AREA 1 TEMPERATUERE WARNING,HMI LOGIC,NORMAL,ALARM,YES,,,,,,,,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,ALARM,AREA 1 TEMPERATUERE ALARM,HMI LOGIC,NORMAL,ALARM,YES,,,,,,,,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,ALARM,AREA 2 TEMPERATUERE WARNING,HMI LOGIC,NORMAL,ALARM,YES,,,,,,,,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,ALARM,AREA 2 TEMPERATUERE ALARM,HMI LOGIC,NORMAL,ALARM,YES,,,,,,,,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,ALARM,AREA 3 TEMPERATUERE WARNING,HMI LOGIC,NORMAL,ALARM,YES,,,,,,,,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,ALARM,AREA 3 TEMPERATUERE ALARM,HMI LOGIC,NORMAL,ALARM,YES,,,,,,,,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,MEASURMENT,TEMPERATURE CHANNEL-1 ,CH-1,,,YES,30001,,INT16,3,-32767,32767,1 DEGREE,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,MEASURMENT,TEMPERATURE CHANNEL-2,CH-2,,,YES,30002,,INT16,3,-32767,32767,1 DEGREE,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,MEASURMENT,TEMPERATURE CHANNEL-3,CH-3,,,YES,30003,,INT16,3,-32767,32767,1 DEGREE,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,MEASURMENT,TEMPERATURE CHANNEL-4,CH-4,,,YES,30004,,INT16,3,-32767,32767,1 DEGREE,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,MEASURMENT,TEMPERATURE CHANNEL-5,CH-5,,,YES,30005,,INT16,3,-32767,32767,1 DEGREE,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,MEASURMENT,TEMPERATURE CHANNEL-6,CH-6,,,YES,30006,,INT16,3,-32767,32767,1 DEGREE,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,MEASURMENT,TEMPERATURE CHANNEL-7,CH-7,,,YES,30007,,INT16,3,-32767,32767,1 DEGREE,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,MEASURMENT,TEMPERATURE CHANNEL-8,CH-8,,,YES,30008,,INT16,3,-32767,32767,1 DEGREE,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,MEASURMENT,TEMPERATURE CHANNEL-9,CH-9,,,YES,30009,,INT16,3,-32767,32767,1 DEGREE,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,MEASURMENT,TEMPERATURE CHANNEL-10,CH-10,,,YES,30010,,INT16,3,-32767,32767,1 DEGREE,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,MEASURMENT,TEMPERATURE CHANNEL-11,CH-11,,,YES,30011,,INT16,3,-32767,32767,1 DEGREE,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,MEASURMENT,TEMPERATURE CHANNEL-12,CH-12,,,YES,30012,,INT16,3,-32767,32767,1 DEGREE,,,,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,SIS2A,EXERTHERM COMM LINK,,DISCONNECTED,CONNECTED,YES,INTERNAL INFO,,BIT,,,,,,,COMM.LINK.SIS1A,,,,
1,Parameters3,EXERTHERM,Parameters1,Parameters5,Parameters4,Parameters2,SIS2B,EXERTHERM COMM LINK,,DISCONNECTED,CONNECTED,YES,INTERNAL INFO,,BIT,,,,,,,COMM.LINK.SIS2A,,,,
