Parameters2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,CONTROL,CB CONTROL,O3,,CLOSE,YES,CSWI1 /  Pos / SBOw,,BIT,5,,,,Parameters4,1,Parameters2.START.CMD,,Parameters6,5,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,CONTROL,CB CONTROL,O4,,OPEN,YES,CSWI1 /  Pos / SBOw,,BIT,5,,,,Parameters4,0,Parameters2.STOP.CMD,,Parameters7,5,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,MODE,CONTROL MODE,I113,REMOTE,LOCAL,YES,CSWI1 /  Loc / StVal,,BIT,3,,,,Parameters3,1,Parameters2.REMOTE,,Parameters10,1,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,STATUS,CB STATUS,I301-I302,OPEN,CLOSE,YES,CSWI1 / Pos / StVal,,BIT,3,,,,Parameters3,0,Parameters2.CB.STATUS,,Parameters8,1,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,STATUS,EXTERNAL OPEN ORDER,I106,NORMAL,RECEIVED,YES,M120_GGIO1 / Ind6,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,STATUS,EARTH SWITCH POSITION CLOSE,I108,,CLOSE,YES,M120_GGIO1 / Ind8,,BIT,3,,,,Parameters3,2,Parameters2.CB.RACKIN,,Parameters9,1,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,STATUS,EARTH SWITCH POSITION OPEN,I108,,OPEN,YES,M120_GGIO1 / Ind8,,BIT,3,,,,Parameters3,2,Parameters2.CB.RACKIN,,Parameters9,1,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,STATUS,CB RACKIN POSITION,I110,,IN,YES,M120_GGIO1 / Ind10,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,STATUS,CB RACKOUT POSITION,I111,,OUT,YES,M120_GGIO1 / Ind11,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,STATUS,REMOTE START (PCS/UCP),I207,,START,YES,M120_GGIO2 / Ind7,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,STATUS,REMOTE STOP (PCS/UCP),I209,,STOP,YES,M120_GGIO2 / Ind9,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,STATUS,REMOTE MODE LCS,I211,LOCAL,REMOTE,YES,M120_GGIO2 / Ind11,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,STATUS,LOCAL START LCS,I212,,START,YES,M120_GGIO2 / Ind12,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,STATUS,LOCAL STOP LCS,I213,,STOP,YES,M120_GGIO2 / Ind13,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,STATUS,MANUAL OPENING,I114,,OPEN,YES,M120_GGIO1 / Ind14,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,ALARM,CLOSE CIRCUIT SUPERVISION,I104,NORMAL,ALARM,YES,M120_GGIO1 / Ind4,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,ALARM,TRIP CIRCUIT SUPERVISION,I102,NORMAL,ALARM,YES,M120_GGIO1/ Ind2,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,ALARM,SF6 PRESSURE LOW LOCKOUT,I105,NORMAL,ALARM,YES,M120_GGIO1 / Ind5,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,ALARM,SPRING CHARGED,I109,NORMAL,ALARM,YES,M120_GGIO1 / Ind9,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,ALARM,SF6 PRESSURE LOW ALARM,I202,NORMAL,ALARM,YES,M120_GGIO2 / Ind2,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,ALARM,LOW TEMPERATURE START INHIBIT,I107,NORMAL,ALARM,YES,M120_GGIO1 / Ind7,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,ALARM,EMERGENCY STOP,I203,NORMAL,ALARM,YES,M120_GGIO2 / Ind3,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,ALARM,87B MICOM DC SUPPLY FAIL,I204,NORMAL,ALARM,YES,M120_GGIO2 / Ind4,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,ALARM,87B MICOM WATCHDOG,I210,NORMAL,ALARM,YES,M120_GGIO2 / Ind10,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,ALARM,MOTOR HEATER FAILURE,I201,NORMAL,ALARM,YES,M120_GGIO2 / Ind1,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,TRIP,EXTERNAL TRIP,I112,NORMAL,TRIP,YES,M120_GGIO1 / Ind12,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,TRIP,87B MICOM TRIP,I205,NORMAL,TRIP,YES,M120_GGIO2 / Ind5,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,TRIP,VAMP ARC SENSOR TRIP,I206,NORMAL,TRIP,YES,M120_GGIO2 / Ind6,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,TRIP,ESD TRIP,I208,NORMAL,TRIP,YES,M120_GGIO2 / Ind8,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,TRIP,LOCKOUT TRIP,I303,NORMAL,TRIP,YES,M120_GGIO2 / Ind8,,BIT,3,,,,Parameters3,8,Parameters2.CB.TRIP,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,TRIP,P50 PHASE OVERCURRENT-1 START,,NORMAL,START,YES,A51_PTOC1 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,TRIP,P50 PHASE OVERCURRENT-1 TRIP,,NORMAL,TRIP,YES,A51_PTOC1 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,TRIP,P51 PHASE OVERCURRENT-2 START,,NORMAL,START,YES,A51_PTOC2 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,TRIP,P51 PHASE OVERCURRENT-2 TRIP,,NORMAL,TRIP,YES,A51_PTOC2 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,TRIP,P50G EARTH FAULT-1 START,,NORMAL,START,YES,A51N_PTOC1 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,TRIP,P50G EARTH FAULT-1 TRIP,,NORMAL,TRIP,YES,A51N_PTOC1 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM M81,Parameters1,AAM90491,10KV,Parameters2,TRIP,P51G EARTH FAULT-2 START,,NORMAL,START,YES,A51N_PTOC2 / Str,,BIT,3,,,,,,,,,,
