Parameters2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,STATUS,CB STATUS,,OPEN,CLOSE,YES,12001,0,UINT16,3,,,,Parameters3,0,Parameters2.CB.STATUS,,Parameters8,1,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,STATUS,SPRING CHARGED,,NORMAL,ALARM,YES,12001,3,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,STATUS,CB DRAWN OUT,,,OUT,YES,15331,8,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,STATUS,CB DRAWN IN,,,IN,YES,15331,9,UINT16,3,,,,Parameters3,2,Parameters2.CB.RACKIN,,Parameters9,1,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,STATUS,TEST POSITION,,,TEST,YES,15331,10,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,ALARM,LONG-TIME PROTECTION TIME PRE-ALARM,,NORMAL,ALARM,YES,12010,0,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,ALARM,EARTH-LEAKAGE ALARM,,NORMAL,ALARM,YES,12010,1,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,ALARM,GROUND-FAULT ALARM,,NORMAL,ALARM,YES,12010,2,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,GENERAL TRIP,,NORMAL,TRIP,YES,12001,2,UINT16,3,,,,Parameters3,8,Parameters2.CB.TRIP,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,LONG-TIME PROTECTION IR,,NORMAL,TRIP,YES,12004,0,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,INSTANTANEOUS PROTECTION II,,NORMAL,TRIP,YES,12004,2,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,GROUND-FAULT PROTECTION IG,,NORMAL,TRIP,YES,12004,3,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,EARTH-LEAKAGE PROTECTION,,NORMAL,TRIP,YES,12004,4,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,INTERNAL FAILURE (TEMPERATURE),,NORMAL,TRIP,YES,12004,6,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,INTERNAL FAILURE (OVERVOLTAGE),,NORMAL,TRIP,YES,12004,8,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,INSTANTANEOUS WITH EARTH-LEAKAGE,,NORMAL,TRIP,YES,12004,9,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,CURRENT UNBALANCE,,NORMAL,TRIP,YES,12005,0,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,OVERCURRENT ON PHASE 1,,NORMAL,TRIP,YES,12005,1,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,OVERCURRENT ON PHASE 2,,NORMAL,TRIP,YES,12005,2,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,OVERCURRENT ON PHASE 3,,NORMAL,TRIP,YES,12005,3,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,OVERCURRENT ON NEUTRAL,,NORMAL,TRIP,YES,12005,4,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,UNDERVOLTAGE,,NORMAL,TRIP,YES,12005,5,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,OVERVOLTAGE,,NORMAL,TRIP,YES,12005,6,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,VOLTAGE UNBALANCE,,NORMAL,TRIP,YES,12005,7,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,OVERPOWER,,NORMAL,TRIP,YES,12005,8,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,REVERSE POWER,,NORMAL,TRIP,YES,12005,9,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,UNDERFREQUENCY,,NORMAL,TRIP,YES,12005,10,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,OVERFREQUENCY,,NORMAL,TRIP,YES,12005,11,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,TRIP,PHASE ROTATION,,NORMAL,TRIP,YES,12005,12,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,ENERGY,ACTIVE ENERGY,,,,YES,12050-12051,,INT32,3,-1999999999,1999999999,kWh,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,ENERGY,REACTIVE ENERGY,,,,YES,12052-12053,,INT32,3,-1999999999,1999999999,kVARh,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,MEASUREMENT,PHASE CURRENT - L1,,,,YES,12016,,UINT16,3,0,32767,A,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,MEASUREMENT,PHASE CURRENT - L2,,,,YES,12017,,UINT16,3,0,32767,A,Parameters5,,Parameters2.I,Parameters11,,3,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,MEASUREMENT,PHASE CURRENT - L3,,,,YES,12018,,UINT16,3,0,32767,A,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,MEASUREMENT,GROUND CURRENT,,,,YES,12019,,UINT16,3,0,32767,A,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,MEASUREMENT,PHASE VOLTAGE - L12,,,,YES,12030,,UINT16,3,0,1200,V,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,MEASUREMENT,PHASE VOLTAGE - L23,,,,YES,12031,,UINT16,3,0,1200,V,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,MEASUREMENT,PHASE VOLTAGE - L31,,,,YES,12032,,UINT16,3,0,1200,V,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,MEASUREMENT,FREQUENCY,,,,YES,12036,,UINT16,3,400,600,0.1 HZ,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,MEASUREMENT,ACTIVE POWER,,,,YES,12041,,INT16,3,-32767,32767,0.1 KW,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,MEASUREMENT,REACTIVE POWER,,,,YES,12045,,INT16,3,-32767,32767,0.1kVAR,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,MEASUREMENT,APPARENT POWER,,,,YES,12049,,UINT16,3,0,32767,0.1kVA,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,MEASUREMENT,POWER FACTOR,,,,YES,12099,,INT16,3,-100,100,0.01,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,DIAGNOSTIC,OPERATING HOURS,,,,YES,29851-29852,,INT32U,3,0,4294967295,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,DIAGNOSTIC,CB CLOSE TO OPEN COUNTER,,,,YES,571-572,,INT32U,3,0,4294967295,,,,,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,SIS2A,NSX COMM LINK,,DISCONNECTED,CONNECTED,YES,INTERNAL INFO,,BIT,,,,,,,COMM.LINK.SIS2A,,,,
1,063-9700-MCC-50564,NSX,Parameters1,TYPE 2,400V,Parameters2,SIS2B,NSX COMM LINK,,DISCONNECTED,CONNECTED,YES,INTERNAL INFO,,BIT,,,,,,,COMM.LINK.SIS2B,,,,
