Parameters2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 87B BLOCKED BUSBAR A,,NORMAL,ALARM,YES,System/GosGGIO2/Ind1,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 87B BLOCKED BUSBAR B,,NORMAL,ALARM,YES,System/GosGGIO2/Ind2,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 BB SYSTEM OUT OF SERVICE,,NORMAL,ALARM,YES,System/GosGGIO2/Ind3,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 CIRCUIT FAULT ALARM CHECK ZONE,,NORMAL,ALARM,YES,System/GosGGIO2/Ind4,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 CIRCUITRY FAULT ALARM BUSBAR A,,NORMAL,ALARM,YES,System/GosGGIO2/Ind5,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 CIRCUITRY FAULT ALARM BUSBAR B,,NORMAL,ALARM,YES,System/GosGGIO2/Ind6,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 FIBRE COMMUNICATION ERROR,,NORMAL,ALARM,YES,System/GosGGIO2/Ind7,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 IED FAILURE,,NORMAL,ALARM,YES,System/GosGGIO2/Ind8,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 TRIP BUSBAR A,,NORMAL,ALARM,YES,System/GosGGIO2/Ind9,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 TRIP BUSBAR B,,NORMAL,ALARM,YES,System/GosGGIO2/Ind10,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 CT ALARM,,NORMAL,ALARM,YES,System/GosGGIO2/Ind11,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 ERROR,,NORMAL,ALARM,YES,System/GosGGIO2/Ind12,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 ISOLATOR/CB STATUS ALARM,,NORMAL,ALARM,YES,System/GosGGIO2/Ind13,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 TRIP 87BB IN BAY 01,,NORMAL,ALARM,YES,System/GosGGIO2/Ind14,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 TRIP 87BB IN BAY 02,,NORMAL,ALARM,YES,System/GosGGIO2/Ind15,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 TRIP 87BB IN BAY 03,,NORMAL,ALARM,YES,System/GosGGIO2/Ind16,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 TRIP 87BB IN BAY 04,,NORMAL,ALARM,YES,System/GosGGIO2/Ind17,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 TRIP 87BB IN BAY 05,,NORMAL,ALARM,YES,System/GosGGIO2/Ind18,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 TRIP 87BB IN BAY 06,,NORMAL,ALARM,YES,System/GosGGIO2/Ind19,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 TRIP 87BB IN BAY 07,,NORMAL,ALARM,YES,System/GosGGIO2/Ind20,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 TRIP 87BB IN BAY 08,,NORMAL,ALARM,YES,System/GosGGIO2/Ind21,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 TRIP 87BB IN BAY 09,,NORMAL,ALARM,YES,System/GosGGIO2/Ind22,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 TRIP 87BB IN BAY 10,,NORMAL,ALARM,YES,System/GosGGIO2/Ind23,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 TRIP 87BB IN BAY 11,,NORMAL,ALARM,YES,System/GosGGIO2/Ind24,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 TRIP 87BB IN BAY 12,,NORMAL,ALARM,YES,System/GosGGIO2/Ind25,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 TRIP 87BB IN BAY 13,,NORMAL,ALARM,YES,System/GosGGIO2/Ind26,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P742 TRIP 87BB IN BAY 14,,NORMAL,ALARM,YES,System/GosGGIO2/Ind27,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 DIFF IA ZONE1,,NORMAL,ALARM,YES,System/GosGGIO2/Ind28,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 DIFF IB ZONE1,,NORMAL,ALARM,YES,System/GosGGIO2/Ind29,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 DIFF IC ZONE1,,NORMAL,ALARM,YES,System/GosGGIO2/Ind30,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 DIFF IA ZONE2,,NORMAL,ALARM,YES,System/GosGGIO2/Ind31,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 DIFF IB ZONE2,,NORMAL,ALARM,YES,System/GosGGIO2/Ind32,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 DIFF IC ZONE2,,NORMAL,ALARM,YES,System/GosGGIO2/Ind33,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 DIFF IA CZ ZONE,,NORMAL,ALARM,YES,System/GosGGIO2/Ind34,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 DIFF IB CZ ZONE,,NORMAL,ALARM,YES,System/GosGGIO2/Ind35,,BIT,,,,,,,,,,,
1,063-9700-MDB-50564,P741,Parameters1,,10KV,Parameters2,ALARM,P741 DIFF IC CZ ZONE,,NORMAL,ALARM,YES,System/GosGGIO2/Ind36,,BIT,,,,,,,,,,,
