Parameters2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-1 SWITCH SM OT01A,IM1-0,NORMAL,ALARM,YES,625,1,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-2 SWITCH SM OT01A,IM1-1,NORMAL,ALARM,YES,625,2,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-1 SWITCH SM OT01B,IM1-2,NORMAL,ALARM,YES,625,3,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-2 SWITCH SM OT01B,IM1-3,NORMAL,ALARM,YES,625,4,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-1 SWITCH SM OT101A,IM1-4,NORMAL,ALARM,YES,625,5,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-2 SWITCH SM OT101A,IM1-5,NORMAL,ALARM,YES,625,6,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-1 SWITCH SM OT101B,IM1-6,NORMAL,ALARM,YES,625,7,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-2 SWITCH SM OT101B,IM1-7,NORMAL,ALARM,YES,625,8,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-1 SWITCH OT11,IM1-8,NORMAL,ALARM,YES,625,9,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-2 SWITCH OT11,IM1-9,NORMAL,ALARM,YES,625,10,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-1 SWITCH OT12,IM1-10,NORMAL,ALARM,YES,625,11,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-2 SWITCH OT12,IM1-11,NORMAL,ALARM,YES,625,12,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-1 SWITCH SM OT102A,IM1-12,NORMAL,ALARM,YES,625,13,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-2 SWITCH SM OT102A,IM1-13,NORMAL,ALARM,YES,625,14,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-1 SWITCH SM OT102B,IM1-14,NORMAL,ALARM,YES,625,15,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG-2 SWITCH SM OT102B,IM1-15,NORMAL,ALARM,YES,625,16,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG ROUTER SR01A,IM2-0,NORMAL,ALARM,YES,626,1,BOOLEAN,3,,,,,,,,,,
1,063-CP-850000-011,PLC,Parameters1,63-8500-J-6109,ECS PANEL,Parameters2,ALARM,WATCHDOG ROUTER SR01B,IM2-1,NORMAL,ALARM,YES,626,2,BOOLEAN,3,,,,,,,,,,
