Parameters2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A04, DI1-0,NORMAL,ALARM,YES,625,1,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A05, DI1-1,NORMAL,ALARM,YES,625,2,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A26, DI1-2,NORMAL,ALARM,YES,625,3,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,SUPPLY TESYS A5, DI1-3,NORMAL,ALARM,YES,625,4,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,SUPPLY TESYS A6, DI1-4,NORMAL,ALARM,YES,625,5,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A09, DI1-5,NORMAL,ALARM,YES,625,6,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A12, DI1-6,NORMAL,ALARM,YES,625,7,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A18, DI1-7,NORMAL,ALARM,YES,625,8,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A06, DI1-8,NORMAL,ALARM,YES,625,9,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A19, DI1-9,NORMAL,ALARM,YES,625,10,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A20, DI1-10,NORMAL,ALARM,YES,625,11,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A25, DI1-11,NORMAL,ALARM,YES,625,12,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,RSR30 A1 -OT224A, DI1-12,NORMAL,ALARM,YES,625,13,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,RSR30 B1 -OT225A, DI1-13,NORMAL,ALARM,YES,625,14,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,24VDC BUS-A SUPPLY, DI1-14,NORMAL,ALARM,YES,625,15,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,220VDC BUS-A SUPPLY, DI1-15,NORMAL,ALARM,YES,625,16,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A07, DI2-0,NORMAL,ALARM,YES,626,1,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A22, DI2-1,NORMAL,ALARM,YES,626,2,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A37, DI2-2,NORMAL,ALARM,YES,626,3,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,SUPPLY TESYS A3, DI2-3,NORMAL,ALARM,YES,626,4,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,SUPPLY TESYS A4, DI2-4,NORMAL,ALARM,YES,626,5,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A03, DI2-5,NORMAL,ALARM,YES,626,6,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A10, DI2-6,NORMAL,ALARM,YES,626,7,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A15, DI2-7,NORMAL,ALARM,YES,626,8,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A16, DI2-8,NORMAL,ALARM,YES,626,9,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A17, DI2-9,NORMAL,ALARM,YES,626,10,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A14, DI2-10,NORMAL,ALARM,YES,626,11,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A21, DI2-11,NORMAL,ALARM,YES,626,12,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A23, DI2-12,NORMAL,ALARM,YES,626,13,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A25, DI2-13,NORMAL,ALARM,YES,626,14,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,220VAC BUS-A SUPPLY, DI2-14,NORMAL,ALARM,YES,626,15,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,VAMP BUS-A SUPPLY, DI2-15,NORMAL,ALARM,YES,626,16,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A02, DI3-0,NORMAL,ALARM,YES,627,1,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A08, DI3-1,NORMAL,ALARM,YES,627,2,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A11, DI3-2,NORMAL,ALARM,YES,627,3,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A34, DI3-3,NORMAL,ALARM,YES,627,4,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,SUPPLY TESYS A1, DI3-4,NORMAL,ALARM,YES,627,5,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,SUPPLY TESYS A2, DI3-5,NORMAL,ALARM,YES,627,6,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A01, DI3-6,NORMAL,ALARM,YES,627,7,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM A13, DI3-7,NORMAL,ALARM,YES,627,8,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,ALARM RSR A1, DI3-8,NORMAL,ALARM,YES,627,9,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,ALARM RSR A2, DI3-9,NORMAL,ALARM,YES,627,10,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,SUPPLY 24VDC A, DI3-10,NORMAL,ALARM,YES,627,11,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,ALARM VAMP A, DI3-11,NORMAL,ALARM,YES,627,12,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,ALARM SEPAM A, DI3-12,NORMAL,ALARM,YES,627,13,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,SUPPLY VAMP A, DI3-13,NORMAL,ALARM,YES,627,14,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,WINDING TEMP° FAULT, DI3-14,NORMAL,ALARM,YES,627,15,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,SEPAM BUS-A WATCHDOG, DI3-15,NORMAL,ALARM,YES,627,16,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,ALARM RSR B1, DI4-0,NORMAL,ALARM,YES,628,1,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,ALARM RSR B2, DI4-1,NORMAL,ALARM,YES,628,2,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,SUPPLY 24VDC B, DI4-2,NORMAL,ALARM,YES,628,3,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,ALARM VAMP B, DI4-3,NORMAL,ALARM,YES,628,4,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,ALARM SEPAM B, DI4-4,NORMAL,ALARM,YES,628,5,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM B01, DI4-5,NORMAL,ALARM,YES,628,6,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,SUPPLY TESYS B1, DI4-6,NORMAL,ALARM,YES,628,7,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,SUPPLY TESYS B2, DI4-7,NORMAL,ALARM,YES,628,8,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM 220VDC BUS-A, DI4-8,NORMAL,ALARM,YES,628,9,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM 220VDC BUS-B, DI4-9,NORMAL,ALARM,YES,628,10,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM 22VAC BUS-A, DI4-10,NORMAL,ALARM,YES,628,11,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM 220VAC BUS-B, DI4-11,NORMAL,ALARM,YES,628,12,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,WINDING TEMP° FAULT, DI4-12,NORMAL,ALARM,YES,628,13,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,MICOM BUS-A WATCHDOG, DI4-13,NORMAL,ALARM,YES,628,14,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,PM5340 BUS-A WATCHDOG, DI4-14,NORMAL,ALARM,YES,628,15,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,SOLKOR BUS-A WATCHDOG, DI4-15,NORMAL,ALARM,YES,628,16,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM B12, DI5-0,NORMAL,ALARM,YES,629,1,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM B13, DI5-1,NORMAL,ALARM,YES,629,2,BOOLEAN,3,,,,,,,,,,
1,063-97000-MCC-50564,PLC,Parameters1,63-9700-P-6413-01,400V,Parameters2,ALARM,COMMON ALARM B25, DI5-2,NORMAL,ALARM,YES,629,3,BOOLEAN,3,,,,,,,,,,
