Parameters2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-9700-MDB-50562,SEPAM S81,Parameters1,AAM90493,10KV,Parameters2,CONTROL,CB CONTROL CLOSE,O2,,CLOSE,YES,CSWI1 /  Pos / SBOw,,BIT,5,,,,Parameters4,1,Parameters2.CLOSE.CMD,,Parameters6,5,
1,063-9700-MDB-50562,SEPAM S81,Parameters1,AAM90493,10KV,Parameters2,CONTROL,CB CONTROL OPEN,O101,,OPEN,YES,CSWI1 /  Pos / SBOw,,BIT,5,,,,Parameters4,0,Parameters2.OPEN.CMD,,Parameters7,5,
1,063-9700-MDB-50562,SEPAM S81,Parameters1,AAM90493,10KV,Parameters2,MODE,CONTROL MODE,,REMOTE ,LOCAL,YES,CSWI1 /  Loc / StVal,,BIT,3,,,,Parameters3,1,Parameters2.REMOTE,,Parameters10,1,
1,063-9700-MDB-50562,SEPAM S81,Parameters1,AAM90493,10KV,Parameters2,SPARE,EXT TIME SYNCH,I103,,,,M120_GGIO1 / Ind3,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM S81,Parameters1,AAM90493,10KV,Parameters2,STATUS,VT DRAWIN,I314,OUT,IN,,M120_GGIO4 / Ind14,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,NT935,Parameters1,AAM90493,10KV,Parameters2,STATUS,FAN-1 STATUS,FAN1,OFF,ON,YES,15,0,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,NT935,Parameters1,AAM90493,10KV,Parameters2,STATUS,FAN-2 STATUS,FAN2,OFF,ON,YES,15,1,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM S81,Parameters1,AAM90493,10KV,Parameters2,STATUS,CB STATUS,I311 - I312,OPEN,CLOSE,YES,CSWI1 / Pos / StVal,,BIT,3,,,,Parameters3,0,Parameters2.CB.STATUS,,Parameters8,1,
1,063-9700-MDB-50562,SEPAM S81,Parameters1,AAM90493,10KV,Parameters2,STATUS,EXTERNAL OPEN ORDER,I106,NORMAL,RECEIVED,YES,M120_GGIO1 / Ind6,,BIT,3,,,,,,,,,,
1,063-9700-MDB-50562,SEPAM S81,Parameters1,AAM90493,10KV,Parameters2,STATUS,EXTERNAL CLOSE ORDER,I107,NORMAL,RECEIVED,YES,M120_GGIO1 / Ind7,,BIT,3,,,,,,,,,,
