Parameters2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,CONTROL,CB CONTROL,O3,,CLOSE,YES,CSWI1 /  Pos / SBOw,,BIT,5,,,,Parameters4,1,Parameters2.CLOSE.CMD,,Parameters6,1,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,CONTROL,CB CONTROL,O4,,OPEN,YES,CSWI1 /  Pos / SBOw,,BIT,5,,,,Parameters4,0,Parameters2.OPEN.CMD,,Parameters7,1,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,MODE,CONTROL MODE,I107,REMOTE,LOCAL,YES,CSWI1 /  Loc / StVal,,BIT,3,,,,Parameters3,1,Parameters2.REMOTE,,Parameters10,1,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,STATUS,CB STATUS,I201-I202,OPEN,CLOSE,YES,CSWI1 / Pos / StVal,,BIT,3,,,,Parameters3,0,Parameters2.CB.STATUS,,Parameters8,1,
1,063-9700-MCC-50564,SEPAM T87,Parameters1,63-9700-P-6473-09,400V,Parameters2,STATUS,CB RACK STATUS,I113,OUT,IN,YES,M120_GGIO1 / Ind13,,BIT,3,,,,Parameters3,2,Parameters2.CBRACKIN,,Parameters9,1,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,STATUS,LOCAL CB OPEN ORDER,I213,,RECEIVED,YES,M120_GGIO2 / Ind13,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,STATUS,INCOMER LOCKOUT RESET 1A,I207,,RESET,YES,M120_GGIO2 / Ind7,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T87,Parameters1,63-9700-P-6473-09,400V,Parameters2,STATUS,INCOMER LOCKOUT RESET 2A,I304,,RESET,YES,M120_GGIO3 / Ind4,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,STATUS,RCP CLOSE ORDER,I106,,RECEIVED,YES,M120_GGIO1 / Ind6,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,STATUS,RCP OPEN ORDER,I214,,RECEIVED,YES,M120_GGIO2 / Ind14,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,STATUS,CB TEST POSITION,I109,,TEST,YES,M120_GGIO1 / Ind9,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,STATUS,VT HEALTHY,I110,NORMAL,HEALTHY,YES,M120_GGIO1 / Ind10,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,STATUS,SYNCHRO ENABLED,I111,INACTIVE,ACTIVE,YES,M120_GGIO1 / Ind11,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,STATUS,BAY IN LOCAL PANEL MODE,I204,,LOCAL,YES,M120_GGIO2 / Ind4,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,ALARM,SPRING CHARGED,I203,NORMAL,ALARM,YES,M120_GGIO2 / Ind3,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T87,Parameters1,63-9700-P-6473-09,400V,Parameters2,ALARM,WINDING TEMPERATURE ALARM,I302,NORMAL,ALARM,YES,M120_GGIO3 / Ind2,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,ALARM,SYNCHRO CHECK FAILLURE,I111,NORMAL,ALARM,YES,RSYN1 / SynFlt / stVal,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,ALARM,TRIP CIRCUIT SUPERVISION,I101,NORMAL,ALARM,YES,M120_GGIO1 / Ind1,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,ALARM,TRIP CIRCUIT SUPERVISION MX2,I108,NORMAL,ALARM,YES,M120_GGIO1 / Ind8,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,ALARM,CLOSE CIRCUIT SUPERVISION,I102,NORMAL,ALARM,YES,M120_GGIO1 / Ind2,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T87,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,CB TRIP SDE,I114,NORMAL,TRIP,YES,M120_GGIO1 / Ind14,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,ARC FLASH PROTECTION,I105,NORMAL,TRIP,YES,M120_GGIO1 / Ind5,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,INTERTRIP FROM UPSTREAM MV CB,I209,NORMAL,TRIP,YES,M120_GGIO2 / Ind9,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P50 PHASE OVERCURRENT-1 START,,NORMAL,START,YES,A51_PTOC1 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P50 PHASE OVERCURRENT-1 TRIP,,NORMAL,TRIP,YES,A51_PTOC1 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P51 PHASE OVERCURRENT-2 START,,NORMAL,START,YES,A51_PTOC2 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P51 PHASE OVERCURRENT-2 TRIP,,NORMAL,TRIP,YES,A51_PTOC2 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P50N EARTH FAULT-1 START,,NORMAL,START,YES,A51N_PTOC1 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P50N EARTH FAULT-1 TRIP,,NORMAL,TRIP,YES,A51N_PTOC1 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P51N EARTH FAULT-2 START,,NORMAL,START,YES,A51N_PTOC2 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P51N EARTH FAULT-2 TRIP,,NORMAL,TRIP,YES,A51N_PTOC2 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P51G EARTH FAULT-2 START,,NORMAL,START,YES,A51N_PTOC2 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P51G EARTH FAULT-2 TRIP,,NORMAL,TRIP,YES,A51N_PTOC2 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P27 UNDER VOLTAGE-1 START,,NORMAL,START,YES,A27_PTUV1 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P27 UNDER VOLTAGE-1 TRIP,,NORMAL,TRIP,YES,A27_PTUV1 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P27I UNDER CURRENT-1 START,,NORMAL,START,YES,A27_PTUV1 / Str,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T81,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P27I UNDER CURRENT-1 TRIP,,NORMAL,TRIP,YES,A27_PTUV1 / Op,,BIT,3,,,,,,,,,,
1,063-9700-MCC-50564,SEPAM T87,Parameters1,63-9700-P-6473-09,400V,Parameters2,TRIP,P87T DIFFERENTIAL TRIP,,NORMAL,TRIP,YES,A87T_PDIF1 / Op,,BIT,3,,,,,,,,,,
