Parameters2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,CONTROL,START,O1,,START,YES,1301,0,UINT16,3,,,,Parameters4,0,Parameters2.START.CMD,,Parameters6,5,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,CONTROL,STOP,O1,,STOP,YES,1301,2,UINT16,3,,,,Parameters4,0,Parameters2.STOP.CMD,,Parameters6,5,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,CONTROL,RESET FAULTS,,,RESET,YES,1301,15,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,STATUS,CB DRAWN IN,I3,OUT,IN,YES,459,2,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,STATUS,CB HEALTHY,I4,FAULTY,HEALTHY,YES,459,3,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,STATUS,READY TO START,,NO READY,READY,YES,1302,0,UINT16,3,,,,Parameters3,1,Parameters2.AVAILABLE,,Parameters9,1,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,STATUS,LOCAL PANEL CONTROL,I5,REMOTE,LOCAL,YES,459,4,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,STATUS,AUTO / REMOTE MODE,I6,LOCAL,REMOTE,YES,459,5,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,STATUS,LOCAL START,I1,,START,YES,459,0,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,STATUS,CONTACTOR STATUS,I7,OPEN,CLOSE,YES,459,6,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,STATUS,LOAD RUNNING,,STOPPED,RUNNING,YES,455,1,UNIT16,3,,,,Parameters3,0,Parameters2.MOTOR.RUNNIG,,Parameters8,1,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,STATUS,SYSTEM ON,,,ON,YES,455,1,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,STATUS,SYSTEM FAULT,,,FAULTY,YES,455,2,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,STATUS,SYSTEM WARNING,,,WARNING,YES,455,3,UNIT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,ALARM,GROUND CURRENT WARNING,,NORMAL,ALARM,YES,461,2,UNIT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,ALARM,CURRENT PHASE IMBALANCE WARNING,,NORMAL,ALARM,YES,461,6,UNIT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,ALARM,UNDERCURRENT WARNING,,NORMAL,ALARM,YES,461,7,UNIT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,ALARM,OVERCURRENT WARNING,,NORMAL,ALARM,YES,462,3,UNIT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,ALARM,CURRENT PHASE REVERSAL,,NORMAL,ALARM,YES,453,5,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,ALARM,MOTOR TEMPERATURE SENSOR FAULT,,NORMAL,ALARM,YES,453,6,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,ALARM,FAULT,O4,NORMAL,ALARM,YES,459,15,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,ALARM,CB FAULT,I8,NORMAL,ALARM,YES,459,7,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,TRIP,LOAD TRIPPED,O3,NORMAL,TRIP,YES,459,14,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,TRIP,GROUND CURRENT FAULT,,NORMAL,TRIP,YES,452,2,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,TRIP,CURRENT PHASE IMBALANCE,,NORMAL,TRIP,YES,452,6,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,TRIP,UNDERCURRENT FAULT,,NORMAL,TRIP,YES,452,7,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,TRIP,OVERCURRENT,,NORMAL,TRIP,YES,453,3,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,TRIP,ESD TRIP,I9,NORMAL,TRIP,YES,459,8,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,TRIP,GENERAL TRIP,,NORMAL,TRIP,YES,455,4,UNIT16,3,,,,Parameters3,8,Parameters2.TRIP,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,MEASURMENT,PHASE CURRENT - L1,,,,YES,502-503,,UINT32,3,0,4294967295,0.01A,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,MEASURMENT,PHASE CURRENT - L2,,,,YES,504-505,,UINT32,3,0,4294967295,0.01A,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,MEASURMENT,PHASE CURRENT - L3,,,,YES,506-507,,UINT32,3,0,4294967295,0.01A,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,MEASURMENT,GROUND CURRENT,,,,YES,508-509,,UINT32,3,0,4294967295,mA,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,MEASURMENT,PHASE VOLTAGE - L12,,,,YES,477,,UINT16,3,0,65535,V,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,MEASURMENT,PHASE VOLTAGE - L23,,,,YES,478,,UINT16,3,0,65535,V,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,Parameters1,63-9700-P-6470,400V,Parameters2,MEASURMENT,PHASE VOLTAGE - L31,,,,YES,479,,UINT16,3,0,65535,V,,,,,,,
