Parameters2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUIPMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,OUTPUT VOLTAGE OUT OF RANGE,,NORMAL,ALARM,YES,1,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,BATTERY OPERATION,,OFF,ON,YES,2,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,BYPASS OPERATION,,OFF,ON,YES,3,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,LOW DC SHUTDOWN,,NORMAL,ALARM,YES,4,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,HIGH DC SHUTDOWN,,NORMAL,ALARM,YES,5,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,COMMON FAULT,,NORMAL,ALARM,YES,6,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,OUTPUT CURRENT > 100%,,NORMAL,ALARM,YES,7,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,STATIC SWITCH TEMP. > 100°C,,NORMAL,ALARM,YES,8,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,SYSTEM PUSHED ON,,OFF,ON,YES,9,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,INVERTER OFF,,ON,OFF,YES,10,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,SYSTEM NOT SYNCHRONIZED,,NORMAL,ALARM,YES,11,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,BATTERY CHARGE CURRENT LIMIT,,NORMAL,ALARM,YES,12,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,BATTERY TEST ACTIVE,,NORMAL,ALARM,YES,16,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,BATTERY VOLTAGE LOW WARNING,,NORMAL,ALARM,YES,21,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,INVERTER CURRENT > 100%,,NORMAL,ALARM,YES,23,,,1,,,,,,,,,,
1,063-UPS-Parameters2,GUTUR UPS,Parameters1,,400V,Parameters2,ALARM,BYPASS VOLTAGE OUT OF RANGE,,NORMAL,ALARM,YES,25,,,1,,,,,,,,,,
